issue,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
第660回,2026-01-16,0.172414,0.103448,0.137931,0.172414,0.137931,0.37931,0.206897,0.241379,0.241379,0.172414,0.172414,0.206897,0.206897,0.206897,0.206897,0.275862,0.275862,0.206897,0.172414,0.137931,0.206897,0.517241,0.137931,0.241379,0.172414,0.103448,0.068966,0.206897,0.137931,0.068966,0.206897,0.103448,0.172414,0.103448,0.206897,0.206897,0.103448
第659回,2026-01-09,0.166667,0.133333,0.133333,0.166667,0.133333,0.366667,0.2,0.266667,0.266667,0.166667,0.166667,0.2,0.2,0.233333,0.2,0.266667,0.266667,0.2,0.166667,0.133333,0.2,0.5,0.133333,0.233333,0.166667,0.1,0.1,0.2,0.133333,0.066667,0.2,0.1,0.166667,0.133333,0.2,0.233333,0.1
第658回,2025-12-26,0.16129,0.129032,0.129032,0.16129,0.129032,0.354839,0.193548,0.258065,0.258065,0.193548,0.16129,0.225806,0.193548,0.225806,0.193548,0.290323,0.258065,0.225806,0.193548,0.129032,0.193548,0.516129,0.129032,0.225806,0.16129,0.096774,0.096774,0.193548,0.129032,0.064516,0.193548,0.096774,0.16129,0.129032,0.193548,0.225806,0.129032
第657回,2025-12-19,0.15625,0.125,0.125,0.15625,0.125,0.34375,0.1875,0.25,0.28125,0.1875,0.1875,0.21875,0.1875,0.21875,0.1875,0.3125,0.25,0.21875,0.1875,0.125,0.1875,0.5,0.15625,0.21875,0.15625,0.09375,0.125,0.1875,0.15625,0.0625,0.1875,0.125,0.15625,0.125,0.1875,0.21875,0.125
第656回,2025-12-12,0.181818,0.121212,0.121212,0.181818,0.121212,0.363636,0.181818,0.242424,0.272727,0.181818,0.181818,0.212121,0.181818,0.212121,0.181818,0.30303,0.242424,0.212121,0.181818,0.151515,0.181818,0.484848,0.151515,0.212121,0.151515,0.090909,0.121212,0.181818,0.151515,0.090909,0.181818,0.121212,0.151515,0.151515,0.181818,0.212121,0.151515
第655回,2025-12-05,0.176471,0.117647,0.117647,0.205882,0.147059,0.352941,0.176471,0.235294,0.264706,0.176471,0.176471,0.235294,0.205882,0.205882,0.176471,0.294118,0.235294,0.205882,0.176471,0.147059,0.176471,0.470588,0.147059,0.235294,0.147059,0.117647,0.117647,0.176471,0.147059,0.088235,0.176471,0.117647,0.176471,0.147059,0.176471,0.205882,0.147059
第654回,2025-11-28,0.171429,0.114286,0.142857,0.2,0.142857,0.342857,0.171429,0.228571,0.257143,0.171429,0.171429,0.257143,0.2,0.2,0.171429,0.285714,0.228571,0.2,0.171429,0.142857,0.171429,0.457143,0.142857,0.228571,0.171429,0.114286,0.114286,0.171429,0.171429,0.114286,0.171429,0.142857,0.2,0.142857,0.171429,0.2,0.142857
第653回,2025-11-21,0.166667,0.111111,0.138889,0.194444,0.138889,0.361111,0.194444,0.222222,0.25,0.166667,0.166667,0.277778,0.194444,0.194444,0.166667,0.277778,0.222222,0.194444,0.166667,0.138889,0.166667,0.444444,0.138889,0.222222,0.194444,0.138889,0.111111,0.166667,0.166667,0.138889,0.166667,0.138889,0.222222,0.138889,0.166667,0.194444,0.138889
第652回,2025-11-14,0.189189,0.108108,0.135135,0.189189,0.135135,0.351351,0.189189,0.216216,0.243243,0.162162,0.162162,0.27027,0.189189,0.189189,0.162162,0.297297,0.216216,0.189189,0.162162,0.135135,0.189189,0.432432,0.135135,0.216216,0.189189,0.162162,0.135135,0.162162,0.162162,0.162162,0.162162,0.135135,0.216216,0.135135,0.189189,0.189189,0.135135
第651回,2025-11-07,0.184211,0.131579,0.131579,0.184211,0.131579,0.342105,0.184211,0.210526,0.236842,0.157895,0.157895,0.263158,0.210526,0.184211,0.157895,0.289474,0.210526,0.184211,0.184211,0.157895,0.184211,0.421053,0.131579,0.236842,0.184211,0.184211,0.131579,0.157895,0.157895,0.157895,0.157895,0.131579,0.210526,0.131579,0.210526,0.184211,0.131579
第650回,2025-10-31,0.205128,0.128205,0.128205,0.179487,0.128205,0.333333,0.179487,0.230769,0.230769,0.179487,0.153846,0.25641,0.205128,0.205128,0.153846,0.282051,0.205128,0.179487,0.179487,0.153846,0.179487,0.410256,0.128205,0.230769,0.205128,0.179487,0.128205,0.153846,0.153846,0.153846,0.153846,0.128205,0.230769,0.128205,0.230769,0.179487,0.128205
第649回,2025-10-24,0.2,0.125,0.125,0.175,0.125,0.325,0.175,0.225,0.225,0.175,0.15,0.275,0.2,0.2,0.15,0.275,0.2,0.175,0.175,0.15,0.175,0.425,0.15,0.225,0.2,0.2,0.125,0.15,0.15,0.15,0.15,0.125,0.25,0.125,0.25,0.175,0.15
第648回,2025-10-17,0.195122,0.121951,0.146341,0.170732,0.121951,0.317073,0.170732,0.219512,0.219512,0.170732,0.146341,0.268293,0.195122,0.195122,0.146341,0.268293,0.219512,0.170732,0.195122,0.146341,0.170732,0.414634,0.146341,0.243902,0.195122,0.195122,0.121951,0.170732,0.170732,0.146341,0.146341,0.121951,0.243902,0.121951,0.268293,0.170732,0.146341
第647回,2025-10-10,0.190476,0.119048,0.142857,0.190476,0.142857,0.309524,0.166667,0.214286,0.238095,0.166667,0.142857,0.261905,0.214286,0.190476,0.142857,0.261905,0.238095,0.166667,0.190476,0.142857,0.166667,0.428571,0.142857,0.238095,0.190476,0.190476,0.119048,0.190476,0.166667,0.142857,0.142857,0.119048,0.238095,0.119048,0.261905,0.166667,0.142857
第646回,2025-10-03,0.186047,0.116279,0.139535,0.186047,0.162791,0.302326,0.162791,0.209302,0.232558,0.162791,0.139535,0.27907,0.232558,0.186047,0.162791,0.255814,0.232558,0.186047,0.186047,0.139535,0.162791,0.418605,0.139535,0.232558,0.186047,0.186047,0.116279,0.186047,0.162791,0.139535,0.139535,0.116279,0.232558,0.116279,0.27907,0.162791,0.162791
第645回,2025-09-26,0.181818,0.113636,0.136364,0.181818,0.159091,0.295455,0.181818,0.204545,0.227273,0.181818,0.136364,0.272727,0.227273,0.181818,0.159091,0.272727,0.227273,0.181818,0.181818,0.159091,0.159091,0.409091,0.136364,0.227273,0.181818,0.204545,0.113636,0.181818,0.159091,0.136364,0.136364,0.136364,0.227273,0.113636,0.295455,0.159091,0.159091
第644回,2025-09-19,0.2,0.111111,0.133333,0.177778,0.155556,0.288889,0.177778,0.2,0.222222,0.177778,0.155556,0.288889,0.222222,0.2,0.155556,0.266667,0.222222,0.177778,0.177778,0.177778,0.155556,0.4,0.133333,0.222222,0.177778,0.222222,0.111111,0.177778,0.177778,0.133333,0.133333,0.133333,0.222222,0.111111,0.288889,0.155556,0.155556
第643回,2025-09-12,0.217391,0.108696,0.130435,0.173913,0.173913,0.282609,0.173913,0.195652,0.217391,0.173913,0.152174,0.282609,0.217391,0.195652,0.173913,0.282609,0.217391,0.195652,0.173913,0.173913,0.152174,0.391304,0.130435,0.217391,0.173913,0.217391,0.130435,0.173913,0.173913,0.130435,0.130435,0.130435,0.217391,0.130435,0.282609,0.152174,0.152174
第642回,2025-09-05,0.234043,0.106383,0.12766,0.170213,0.170213,0.276596,0.191489,0.191489,0.212766,0.170213,0.148936,0.276596,0.212766,0.191489,0.170213,0.276596,0.212766,0.191489,0.170213,0.170213,0.148936,0.404255,0.148936,0.212766,0.170213,0.212766,0.12766,0.170213,0.170213,0.12766,0.12766,0.12766,0.234043,0.148936,0.297872,0.148936,0.148936
第641回,2025-08-29,0.25,0.104167,0.145833,0.166667,0.166667,0.270833,0.208333,0.1875,0.208333,0.166667,0.145833,0.270833,0.208333,0.1875,0.166667,0.270833,0.208333,0.1875,0.166667,0.166667,0.145833,0.395833,0.166667,0.229167,0.166667,0.208333,0.125,0.166667,0.166667,0.125,0.125,0.125,0.25,0.145833,0.291667,0.166667,0.145833
第640回,2025-08-22,0.244898,0.122449,0.142857,0.163265,0.163265,0.265306,0.22449,0.183673,0.22449,0.163265,0.142857,0.285714,0.22449,0.204082,0.163265,0.265306,0.204082,0.183673,0.163265,0.163265,0.142857,0.387755,0.163265,0.22449,0.163265,0.204082,0.122449,0.163265,0.183673,0.122449,0.122449,0.122449,0.244898,0.142857,0.285714,0.163265,0.142857
第639回,2025-08-15,0.24,0.12,0.14,0.16,0.18,0.26,0.22,0.18,0.24,0.16,0.14,0.3,0.22,0.2,0.18,0.26,0.2,0.18,0.16,0.16,0.14,0.38,0.16,0.22,0.16,0.2,0.12,0.16,0.18,0.14,0.14,0.12,0.24,0.16,0.28,0.16,0.14
第638回,2025-08-08,0.254902,0.117647,0.137255,0.156863,0.176471,0.27451,0.215686,0.176471,0.235294,0.156863,0.137255,0.294118,0.215686,0.196078,0.176471,0.254902,0.196078,0.196078,0.176471,0.156863,0.137255,0.372549,0.156863,0.215686,0.156863,0.196078,0.117647,0.156863,0.176471,0.137255,0.137255,0.117647,0.235294,0.156863,0.294118,0.176471,0.156863
第637回,2025-08-01,0.269231,0.115385,0.134615,0.173077,0.173077,0.269231,0.230769,0.192308,0.25,0.153846,0.134615,0.288462,0.211538,0.192308,0.173077,0.25,0.192308,0.192308,0.173077,0.173077,0.153846,0.365385,0.153846,0.211538,0.153846,0.192308,0.115385,0.153846,0.173077,0.134615,0.134615,0.115385,0.230769,0.153846,0.288462,0.173077,0.153846
第636回,2025-07-25,0.264151,0.113208,0.132075,0.169811,0.169811,0.264151,0.226415,0.188679,0.245283,0.169811,0.132075,0.283019,0.207547,0.207547,0.169811,0.245283,0.207547,0.188679,0.169811,0.188679,0.150943,0.358491,0.150943,0.207547,0.150943,0.207547,0.132075,0.150943,0.188679,0.132075,0.132075,0.113208,0.226415,0.150943,0.283019,0.169811,0.150943
第635回,2025-07-18,0.259259,0.111111,0.12963,0.166667,0.166667,0.259259,0.222222,0.185185,0.240741,0.185185,0.12963,0.296296,0.203704,0.203704,0.166667,0.240741,0.203704,0.185185,0.166667,0.203704,0.148148,0.351852,0.148148,0.203704,0.148148,0.203704,0.12963,0.148148,0.203704,0.148148,0.148148,0.111111,0.222222,0.166667,0.277778,0.166667,0.148148
第634回,2025-07-11,0.254545,0.127273,0.127273,0.163636,0.163636,0.254545,0.218182,0.181818,0.236364,0.181818,0.127273,0.309091,0.2,0.2,0.163636,0.236364,0.2,0.2,0.163636,0.2,0.145455,0.345455,0.145455,0.2,0.145455,0.2,0.127273,0.145455,0.218182,0.145455,0.145455,0.127273,0.218182,0.163636,0.272727,0.181818,0.163636
第633回,2025-07-04,0.25,0.142857,0.125,0.160714,0.178571,0.25,0.214286,0.178571,0.232143,0.196429,0.125,0.303571,0.196429,0.196429,0.160714,0.232143,0.214286,0.196429,0.160714,0.196429,0.160714,0.339286,0.142857,0.196429,0.142857,0.196429,0.125,0.142857,0.214286,0.142857,0.160714,0.125,0.214286,0.160714,0.267857,0.196429,0.160714
第632回,2025-06-27,0.245614,0.140351,0.122807,0.157895,0.192982,0.245614,0.22807,0.175439,0.22807,0.210526,0.140351,0.298246,0.192982,0.192982,0.157895,0.22807,0.210526,0.192982,0.157895,0.192982,0.157895,0.333333,0.140351,0.192982,0.140351,0.192982,0.122807,0.140351,0.22807,0.140351,0.175439,0.122807,0.210526,0.157895,0.263158,0.192982,0.175439
第631回,2025-06-20,0.241379,0.155172,0.137931,0.155172,0.189655,0.258621,0.224138,0.172414,0.224138,0.206897,0.137931,0.293103,0.189655,0.189655,0.155172,0.224138,0.224138,0.189655,0.155172,0.189655,0.155172,0.327586,0.137931,0.189655,0.137931,0.189655,0.12069,0.137931,0.224138,0.137931,0.172414,0.12069,0.224138,0.155172,0.275862,0.206897,0.172414
第630回,2025-06-13,0.237288,0.152542,0.135593,0.169492,0.186441,0.271186,0.220339,0.186441,0.220339,0.20339,0.135593,0.288136,0.186441,0.186441,0.152542,0.220339,0.220339,0.186441,0.152542,0.186441,0.152542,0.322034,0.152542,0.186441,0.135593,0.186441,0.118644,0.152542,0.237288,0.135593,0.169492,0.118644,0.220339,0.169492,0.271186,0.20339,0.169492
第629回,2025-06-06,0.233333,0.166667,0.133333,0.166667,0.183333,0.266667,0.233333,0.183333,0.233333,0.2,0.133333,0.283333,0.183333,0.183333,0.15,0.216667,0.216667,0.183333,0.15,0.183333,0.166667,0.316667,0.166667,0.2,0.133333,0.183333,0.116667,0.15,0.233333,0.15,0.166667,0.116667,0.216667,0.166667,0.266667,0.2,0.166667
第628回,2025-05-30,0.245902,0.163934,0.131148,0.163934,0.180328,0.262295,0.229508,0.196721,0.245902,0.196721,0.147541,0.278689,0.180328,0.180328,0.147541,0.213115,0.213115,0.196721,0.147541,0.180328,0.163934,0.311475,0.163934,0.196721,0.131148,0.180328,0.131148,0.147541,0.229508,0.147541,0.163934,0.114754,0.213115,0.163934,0.278689,0.196721,0.163934
第627回,2025-05-23,0.241935,0.16129,0.129032,0.16129,0.177419,0.258065,0.225806,0.193548,0.258065,0.193548,0.145161,0.274194,0.177419,0.177419,0.16129,0.209677,0.209677,0.193548,0.145161,0.177419,0.177419,0.306452,0.16129,0.193548,0.129032,0.177419,0.129032,0.145161,0.225806,0.16129,0.16129,0.112903,0.225806,0.177419,0.274194,0.193548,0.177419
第626回,2025-05-16,0.253968,0.15873,0.142857,0.15873,0.174603,0.253968,0.238095,0.190476,0.253968,0.190476,0.142857,0.285714,0.174603,0.174603,0.15873,0.206349,0.222222,0.190476,0.142857,0.174603,0.174603,0.301587,0.15873,0.190476,0.126984,0.174603,0.126984,0.142857,0.222222,0.15873,0.15873,0.126984,0.222222,0.190476,0.269841,0.190476,0.174603
第625回,2025-05-09,0.25,0.15625,0.15625,0.15625,0.171875,0.25,0.234375,0.1875,0.25,0.203125,0.140625,0.296875,0.171875,0.171875,0.15625,0.203125,0.21875,0.203125,0.15625,0.171875,0.171875,0.296875,0.15625,0.203125,0.125,0.171875,0.125,0.140625,0.21875,0.15625,0.15625,0.140625,0.21875,0.1875,0.265625,0.1875,0.171875
第624回,2025-05-02,0.246154,0.169231,0.153846,0.153846,0.169231,0.246154,0.230769,0.184615,0.246154,0.2,0.138462,0.292308,0.169231,0.184615,0.169231,0.2,0.215385,0.2,0.153846,0.169231,0.169231,0.292308,0.153846,0.2,0.123077,0.184615,0.138462,0.138462,0.215385,0.153846,0.153846,0.138462,0.215385,0.2,0.261538,0.2,0.169231
第623回,2025-04-25,0.242424,0.166667,0.151515,0.151515,0.166667,0.242424,0.227273,0.181818,0.257576,0.19697,0.136364,0.30303,0.166667,0.181818,0.166667,0.19697,0.212121,0.19697,0.151515,0.166667,0.166667,0.30303,0.151515,0.19697,0.121212,0.19697,0.136364,0.151515,0.212121,0.151515,0.166667,0.136364,0.212121,0.19697,0.257576,0.19697,0.181818
第622回,2025-04-18,0.253731,0.164179,0.149254,0.149254,0.164179,0.238806,0.223881,0.179104,0.253731,0.208955,0.134328,0.298507,0.164179,0.179104,0.164179,0.19403,0.208955,0.19403,0.149254,0.164179,0.164179,0.298507,0.149254,0.19403,0.119403,0.19403,0.134328,0.164179,0.223881,0.164179,0.164179,0.134328,0.223881,0.208955,0.253731,0.19403,0.179104
第621回,2025-04-11,0.264706,0.176471,0.147059,0.147059,0.161765,0.235294,0.220588,0.176471,0.25,0.205882,0.132353,0.308824,0.176471,0.191176,0.161765,0.191176,0.205882,0.191176,0.147059,0.161765,0.161765,0.294118,0.147059,0.191176,0.117647,0.191176,0.132353,0.161765,0.220588,0.176471,0.161765,0.132353,0.220588,0.205882,0.25,0.205882,0.176471
第620回,2025-04-04,0.26087,0.188406,0.144928,0.15942,0.15942,0.231884,0.217391,0.188406,0.246377,0.217391,0.130435,0.318841,0.173913,0.188406,0.15942,0.188406,0.202899,0.188406,0.144928,0.15942,0.15942,0.289855,0.144928,0.188406,0.115942,0.188406,0.130435,0.15942,0.231884,0.173913,0.15942,0.144928,0.217391,0.202899,0.246377,0.202899,0.173913
第619回,2025-03-28,0.257143,0.185714,0.142857,0.157143,0.157143,0.228571,0.214286,0.2,0.257143,0.214286,0.128571,0.314286,0.171429,0.185714,0.157143,0.185714,0.2,0.2,0.142857,0.171429,0.157143,0.285714,0.142857,0.185714,0.114286,0.185714,0.142857,0.157143,0.242857,0.171429,0.157143,0.157143,0.214286,0.2,0.242857,0.2,0.171429
第618回,2025-03-21,0.253521,0.183099,0.140845,0.15493,0.15493,0.225352,0.225352,0.197183,0.253521,0.211268,0.126761,0.309859,0.169014,0.183099,0.15493,0.183099,0.211268,0.197183,0.140845,0.183099,0.15493,0.28169,0.15493,0.197183,0.112676,0.183099,0.140845,0.15493,0.239437,0.169014,0.15493,0.15493,0.211268,0.211268,0.239437,0.211268,0.169014
第617回,2025-03-14,0.25,0.194444,0.138889,0.152778,0.152778,0.236111,0.222222,0.194444,0.25,0.222222,0.125,0.319444,0.166667,0.180556,0.152778,0.180556,0.208333,0.194444,0.138889,0.180556,0.152778,0.277778,0.152778,0.194444,0.125,0.180556,0.138889,0.166667,0.236111,0.166667,0.152778,0.152778,0.208333,0.208333,0.25,0.208333,0.166667
第616回,2025-03-07,0.246575,0.191781,0.136986,0.150685,0.150685,0.232877,0.232877,0.191781,0.246575,0.219178,0.123288,0.315068,0.164384,0.178082,0.164384,0.178082,0.205479,0.191781,0.136986,0.191781,0.150685,0.273973,0.150685,0.191781,0.123288,0.178082,0.136986,0.178082,0.246575,0.164384,0.150685,0.150685,0.205479,0.219178,0.246575,0.219178,0.164384
